timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1564640344954,726,Login URL,200,,Thread Group - Milo Queue Access  1-1,text,true,,1722,429,2,2,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/mil_ops/mil_dt,726,0,654
1564640345353,327,Login URL,200,,Thread Group - Milo Queue Access  1-2,text,true,,1722,429,2,2,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/mil_ops/mil_dt,327,0,257
1564640345688,59,Login URL,200,,Thread Group - Milo Queue Access  1-1,,true,,12803,712,2,2,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login,58,0,0
1564640344857,785,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-1,,true,,14525,1141,2,2,null,784,107,654
1564640345689,242,Login URL,200,,Thread Group - Milo Queue Access  1-2,,true,,12803,712,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login,238,0,0
1564640345352,569,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,14525,1141,3,3,null,565,12,257
1564640345846,187,Login URL,200,,Thread Group - Milo Queue Access  1-3,text,true,,1722,429,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/mil_ops/mil_dt,187,0,137
1564640345750,290,Authenticate,200,,Thread Group - Milo Queue Access  1-1,,true,,36078,1723,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,98,0,0
1564640345750,98,Authenticate-0,302,,Thread Group - Milo Queue Access  1-1,,true,,460,889,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_check,98,0,0
1564640345850,190,Authenticate-1,200,,Thread Group - Milo Queue Access  1-1,,true,,35618,834,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,151,0,0
1564640346033,48,Login URL,200,,Thread Group - Milo Queue Access  1-3,,true,,12803,712,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/auth/login,47,0,0
1564640345846,235,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-3,,true,,14525,1141,3,3,null,234,0,137
1564640345933,246,Authenticate,200,,Thread Group - Milo Queue Access  1-2,,true,,36078,1723,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,84,0,0
1564640345933,84,Authenticate-0,302,,Thread Group - Milo Queue Access  1-2,,true,,460,889,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_check,84,0,0
1564640346018,161,Authenticate-1,200,,Thread Group - Milo Queue Access  1-2,,true,,35618,834,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,130,0,0
1564640346042,138,AuthSuccess,200,,Thread Group - Milo Queue Access  1-1,,true,,35625,750,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,136,0,0
1564640345749,428,Authenticate Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-1,,true,,71703,2473,3,3,null,234,5,0
1564640346182,107,Click Queues,200,,Thread Group - Milo Queue Access  1-1,,true,,49025,845,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/workbench/queues/showQueues?menuId=1&pageId=2&_pageLabel=page_workbench&MLMenu=true,66,0,0
1564640346181,108,AuthSuccess,200,,Thread Group - Milo Queue Access  1-2,,true,,35618,750,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,105,0,0
1564640345933,354,Authenticate Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,71696,2473,3,3,null,189,3,0
1564640346082,280,Authenticate,200,,Thread Group - Milo Queue Access  1-3,,true,,36069,1723,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,92,0,0
1564640346082,92,Authenticate-0,302,,Thread Group - Milo Queue Access  1-3,,true,,460,889,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/j_spring_security_check,92,0,0
1564640346175,187,Authenticate-1,200,,Thread Group - Milo Queue Access  1-3,,true,,35609,834,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/login/onAuthSuccess,146,0,0
1564640346290,91,Click Pending Orders Received via Edit,200,,Thread Group - Milo Queue Access  1-1,text,true,,46447,688,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do?_pageLabel=page_im_q_edi_pending_orders,87,0,0
1564640346182,198,Click Queues,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-1,,true,,95472,1533,3,3,null,153,1,0
1564640346291,117,Click Queues,200,,Thread Group - Milo Queue Access  1-2,,true,,48953,845,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/appmanager/milops/workbench/queues/showQueues?menuId=1&pageId=2&_pageLabel=page_workbench&MLMenu=true,77,0,0
1564640346409,79,Click Pending Orders Received via Edit,200,,Thread Group - Milo Queue Access  1-2,text,true,,46491,688,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do?_pageLabel=page_im_q_edi_pending_orders,76,0,0
1564640346290,196,Click Queues,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group - Milo Queue Access  1-2,,true,,95444,1533,3,3,null,153,5,0
1564640346381,115,View Queue Results,200,,Thread Group - Milo Queue Access  1-1,text,true,,56712,1293,3,3,https://mil.pp.matson.com/MIL_OPS_Portal/casim/orderPendingReceivedViaEdiAction.do,112,0,0
